name,classe,cours,id,entree,sortie,score,remarque,id_user,id_meeting,planning_cours_journalier_id,ip,created_at,updated_at,source,canal_feedback
Zayneb Elkacimi,BV_ST03,Soutien Scolaire Maths 2ème année Bac PC MEF 1 (BIOF),4807,2023-10-24 18:57:31,2023-10-24 20:34:59,10,"Très satisfait du cours, contenu clair et utile.",1676,54,\N,\N,2023-10-24 19:57:31,2023-10-24 21:37:47,yool education,email
Mohamed Amine Ouyahya,BV_ST03,Soutien Scolaire Maths 2ème année Bac PC MEF 1 (BIOF),4818,2023-10-24 19:19:07,2023-10-24 20:34:06,9,"Méthodologie adaptée, j'ai beaucoup appris.",1687,54,\N,\N,2023-10-24 20:19:07,2023-10-24 22:46:49,yool education,plateforme
Mohamed Amine Ouyahya,BV_ST03,Soutien Scolaire Maths 2ème année Bac PC MEF 1 (BIOF),5584,2023-11-14 19:15:44,2023-11-14 20:33:15,8,"Méthodologie adaptée, j'ai beaucoup appris.",1687,54,\N,\N,2023-11-14 20:15:44,2023-11-14 21:33:15,yool education,plateforme
Dina Benjelloun,BV_ST03,Soutien Scolaire PC 2ème année Bac PC MEF 1 (BIOF),237,2022-10-02 09:30:46,2022-10-02 11:00:14,9,"Méthodologie adaptée, j'ai beaucoup appris.",96,55,\N,\N,2022-10-02 10:30:46,2022-10-02 12:00:28,yool education,enquête
Achraf ECHCHORFI,BV_ST03,Soutien Scolaire SVT 2ème année Bac PC MEF 1 (BIOF),5046,2023-11-02 18:38:40,2023-11-02 18:40:23,8,"Méthodologie adaptée, j'ai beaucoup appris.",1633,56,\N,\N,2023-11-02 19:38:40,2023-11-02 19:40:28,yool education,réseaux sociaux
EL ADNANI Abderrahmane,BV_ST03,Soutien Scolaire Anglais/Philo 2ème année Bac PC MEF 1 (BIOF),8751,2024-01-28 11:31:41,2024-01-28 15:36:06,10,"Très satisfait du cours, contenu clair et utile.",1876,57,\N,\N,2024-01-28 12:31:41,2024-01-28 16:36:21,yool education,plateforme
Zineb Jouhal,BV_ST03,Soutien Scolaire Anglais/Philo 2ème année Bac PC MEF 1 (BIOF),9124,2024-02-04 10:08:44,2024-02-04 15:32:53,9,Formateur très compétent et à l'écoute.,1626,57,\N,\N,2024-02-04 11:08:44,2024-02-04 16:38:16,yool education,plateforme
EL ADNANI Abderrahmane,BV_ST03,Soutien Scolaire Anglais/Philo 2ème année Bac PC MEF 1 (BIOF),9129,2024-02-04 11:02:56,2024-02-04 15:32:30,10,Formateur très compétent et à l'écoute.,1876,57,\N,\N,2024-02-04 12:02:56,2024-02-04 16:32:37,yool education,plateforme
EL ADNANI Abderrahmane,BV_ST03,Soutien Scolaire Anglais/Philo 2ème année Bac PC MEF 1 (BIOF),9560,2024-02-11 11:12:45,2024-02-11 15:32:26,10,Formateur très compétent et à l'écoute.,1876,57,\N,\N,2024-02-11 12:12:45,2024-02-11 16:32:33,yool education,email
TAARABT HASSAN,GR_1,SOCLE 1 : Les fondements du préscolaire (métier éducateur),14840,2024-05-14 09:31:55,2024-05-14 13:00:12,8,Formateur très compétent et à l'écoute.,4088,78,87980,\N,2024-05-14 10:31:55,2024-05-14 14:00:12,yool education,enquête
Zelmati Abderrahmane,GR_1,SOCLE 1 : Les fondements du préscolaire (métier éducateur),14845,2024-05-14 09:56:48,2024-05-14 12:59:29,8,"Méthodologie adaptée, j'ai beaucoup appris.",4090,78,87980,\N,2024-05-14 10:56:48,2024-05-14 13:59:29,yool education,plateforme
Zelmati Abderrahmane,GR_1,SOCLE 1 : Les fondements du préscolaire (métier éducateur),14965,2024-05-15 02:45:09,2024-05-15 02:46:24,8,Formateur très compétent et à l'écoute.,4090,78,\N,\N,2024-05-15 03:45:09,2024-05-15 03:46:39,yool education,plateforme
Keven Rasvane,GR 1,COURS WOLOF (LA PHASE TEST),604,2022-12-28 14:00:29,2022-12-28 15:35:49,10,Formateur très compétent et à l'écoute.,205,129,\N,\N,2022-12-28 15:00:29,2022-12-28 16:35:49,yool education,réseaux sociaux
Sadek Rajae,Plate-forme des jeunes Skhirat-Temmara,Cours d’anglais Professionnelle,771,2023-01-28 15:02:43,2023-01-28 16:34:59,8,"Très satisfait du cours, contenu clair et utile.",342,132,\N,\N,2023-01-28 16:02:43,2023-01-28 17:34:59,yool education,plateforme
